original,renamed,unity_source,description,category
_5618._m22,godrayFalloffDist,_FogStartDistance,God ray falloff distance,UBO Member
_5618._m23,noiseMixFactor,_AnimationSpeed,Noise mixing factor,UBO Member
_5618._m24,depthDownscaleFactor,_ResolutionDivisor,Depth texture downscale factor,UBO Member
_1030_5037,ScreenDataBlock,screen data,Screen-related data uniform buffer,Uniform Buffer
_5037,screenData,screen data instance,Screen data UBO instance,UBO Instance
_5037._m0,noiseTileSize,_BlueNoiseTex2D_TexelSize.zw,Blue noise texture tile size (ivec2),UBO Member
_5037._m1,logDepthNear,log depth near,Logarithmic depth near plane,UBO Member
_5037._m2,logDepthFar,log depth far,Logarithmic depth far plane,UBO Member
_1080_5538,LightingDataBlock,main light data,Main light data uniform buffer,Uniform Buffer
_5538,lightingData,main light,Lighting data UBO instance,UBO Instance
_5538._m0,mainLightDirection,GetMainLight().direction,Main directional light direction,UBO Member
_5538._m1,mainLightColor,GetMainLight().color,Main directional light color,UBO Member
_5975,blueNoiseTexture,_BlueNoiseTex2D,Blue noise texture for dithering,Texture
_4543,sceneDepthTexture,SampleSceneDepth,Scene depth texture,Texture
_5967,secondaryDepthTexture,secondary depth,Secondary depth texture for occlusion,Texture
_5481,volumeMaskTexture,_SmokeMask,Volume visibility mask texture,Texture
_3482,volumeDensityTexture,_SmokeTex3D,3D volume density texture,Texture
_4038,volumeSampler,sampler_SmokeTex3D,Sampler for volume textures,Sampler
_3913,highFreqNoiseTexture,_HighFreqNoise,High frequency 3D noise texture,Texture
_4258,noiseSampler,sampler_HighFreqNoise,Sampler for noise textures,Sampler
_4426,colorLUTTexture,_ColorLUT3D,3D color lookup table texture,Texture
_5514,inWorldViewDir,input.rayDirection,Input: World space view direction from vertex,Input
_3711,outMoment0,output.OpticalDepth,Output: Moment 0 (optical depth),Output
_3338,outMoment1,output.Moments,Output: Moment 1 (depth and depth^2),Output
_3339,outMoment2,output.HigherMoments,Output: Higher moments (depth^3 through depth^6),Output
_3340,outSmokeColor,output.SmokeColor,Output: Final smoke color and alpha,Output
_3341,outDepthMinMax,output.DepthRange,Output: Depth range (near far),Output
_3342,outTransmittance,output.alpha,Output: Transmittance/alpha value,Output
_15861,rayDirection,rayDirection = normalize(worldPosition - _CameraPosition),World space ray direction (normalized),Main Variable
_23296,invRayDirection,1.0 / rayDirection,Inverse ray direction for AABB tests,Ray Setup
_8251,tToSceneMin,rayToSceneMin,Ray t-value to scene AABB minimum,AABB Test
_6243,tToSceneMax,rayToSceneMax,Ray t-value to scene AABB maximum,AABB Test
_7415,tMinPerAxis,min(tToSceneMax tToSceneMin),Near intersection per axis,AABB Test
_13037,tMaxPerAxis,max(tToSceneMax tToSceneMin),Far intersection per axis,AABB Test
_11253,tMinComponents,max(tMinPerAxis.xx tMinPerAxis.yz),Component-wise max for tMin,AABB Test
_12676,rayEnterDistance,rayEnterDistance = max(max(tMinComponents.x tMinComponents.y)),Scene entry distance,AABB Test
_16933,tMaxComponents,min(tMaxPerAxis.xx tMaxPerAxis.yz),Component-wise min for tMax,AABB Test
_14150,rayExitDistance,rayExitDistance = min(min(tMaxComponents.x tMaxComponents.y)),Scene exit distance,AABB Test
_3914,baseStepDistance,baseStepDistance = _BaseStepSize * 1.5,Ray marching step size,Step Setup
_19617,fragCoord,int2(gl_FragCoord.xy),Fragment screen coordinate (ivec2),Screen Coord
_25102,rayMarchStart,rayMarchStart = max(rayEnterDistance 4.0) + jitter,Ray march starting distance,Ray Setup
_17338,screenCoord,int2(input.positionCS.xy),Screen pixel coordinate,Screen Coord
_10955,depthRange,_CameraFarPlane - _CameraNearPlane,Depth range (far - near),Depth Calc
_24159,linearSceneDepth,LinearEyeDepth(rawDepth _ZBufferParams),Linear scene depth,Depth Calc
_15694,rayDotForward,dot(_CameraForward rayDirection),Ray dot camera forward,Depth Calc
_19245,sceneDepthAlongRay,sceneDepthAlongRay = linearSceneDepth / rayDotForward,Scene depth projected along ray,Depth Calc
_18051,negRayDirection,-rayDirection,Negative ray direction,Ray Setup
_7391,backProjectedPoint,backProjectedPoint (surface pos),Surface position backprojected,Depth Calc
_6681,hasExplosionLayer,enableExplosions > 0,Has active explosions flag,Explosion Check
_12666,skipDueToOcclusion,occlusion check result,Is behind secondary depth surface,Occlusion Check
_4364,rayMarchEnd,rayMarchEnd = sceneDepthAlongRay - 2.0,Clamped maximum ray distance,Ray Setup
_5607,marchStartPos,marchStartWorldPos,Ray march start position in world space,Ray Setup
_4987,marchEndPos,marchEndWorldPos,Ray march end position in world space,Ray Setup
_19697,activeVolumeMask,rawSmokeMask = (uint)_SmokeMask.Load(),Bitmask of active volumes,Volume Mask
_4249,bitmaskShifted,currentVolumeBit >> 1,Right-shifted volume bitmask,Volume Loop
_15529,volumeIdxNext,volumeIndex + 1,Next volume index,Volume Loop
_5767,activeVolumeBoxes,VolumeBoxData activeVolumeBoxes[1],Array of intersected volume boxes,Volume Array
_6386,volumeCountTemp,activeVolumeCount + 1 (temp),Temporary volume count,Volume Loop
_6864,activeVolumeCount,activeVolumeCount,Total number of intersected volumes,Volume Loop
_13136,volumeIndex,volumeIndex,Current volume index in bitmask loop,Volume Loop
_16324,arrayIndex,array insert index,Current index in intersection array,Volume Loop
_17017,currentVolumeBit,currentVolumeBit,Remaining volume bitmask to process,Volume Loop
_8252,tToVolumeMin,temp tMin calculation,Ray t to volume minimum,Volume AABB
_6244,tToVolumeMax,temp tMax calculation,Ray t to volume maximum,Volume AABB
_7416,volTMinPerAxis,min per axis,Volume tMin per axis,Volume AABB
_13038,volTMaxPerAxis,max per axis,Volume tMax per axis,Volume AABB
_11254,volTMinComp,component comparison,Volume tMin components,Volume AABB
_16934,volTMaxComp,component comparison,Volume tMax components,Volume AABB
_12756,finalGodrayAccum,accumulatedFogDensity (final),Final accumulated godray/fog,Final Output
_13175,finalLastHitPos,lastValidSamplePos (final),Final last hit position,Final Output
_14229,finalAccumColor,accumulatedColor (final),Final accumulated color and alpha,Final Output
_16327,finalFirstHitPos,currentVolumePos (final),Final first hit position,Final Output
_17192,finalSunlightAccum,accumulatedLightEnergy (final),Final accumulated sunlight,Final Output
_20544,volumeBoxList,VolumeBoxData volumeBoxList[1],Local copy of volume boxes,Volume Array
_7668,totalMarchDistance,totalMarchDistance = length(marchEndWorldPos - marchStartWorldPos),Total ray marching distance,March Setup
_14823,maxStepCount,maxStepCount = clamp(ceil(totalMarchDistance / baseStepDistance) + 10),Maximum ray marching steps,March Setup
_12127,validVolumeCount,validVolumeCount = min(activeVolumeCount 1),Number of valid volumes,March Setup
_19298,cameraSideVector,cross(_CameraForward _CameraUp),Cross product of camera vectors,March Setup
_14778,totalRayDistance,totalRayDistance = rayMarchStart + totalMarchDistance,Maximum ray t-value,March Setup
_17018,currentVolumePos,currentVolumePos,Current volume position tracker,Main Loop State
_17115,accumulatedColor,accumulatedColor = float4(0),Current accumulated color,Main Loop State
_17117,accumulatedTracerDirection,accumulatedTracerDirection = float3(0 0 0.01),Current tracer direction,Main Loop State
_17120,currentMarchPos,currentMarchPos = marchStartWorldPos,Current ray marching position,Main Loop State
_17133,lastValidSamplePos,lastValidSamplePos = marchEndWorldPos,Last valid sample position,Main Loop State
_20747,nextRayDistance,nextRayDistance = currentRayDistance + baseStepDistance,Next step ray distance,Main Loop Advance
_22071,nextMarchPos,nextMarchPos = currentMarchPos + (rayDirection * baseStepDistance),Next step world position,Main Loop Advance
_23989,nextStepIndex,stepIndex + 1,Next step index,Main Loop Advance
_13155,loopLastHitTemp,temp last hit,Loop-level last hit (temp),Main Loop Temp
_13156,loopLastHitPos,lastValidSamplePos (loop result),Loop last hit position,Main Loop Result
_16306,hadPreviousSample,hadPreviousSample,Had previous valid sample flag,Main Loop State
_16314,loopFirstHitTemp,temp first hit,Loop-level first hit (temp),Main Loop Temp
_16315,loopFirstHitPos,currentVolumePos (loop result),Loop first hit position,Main Loop Result
_16863,innerLoopBreak,innerLoopBreak,Inner loop early exit flag,Inner Loop Control
_16864,foundOpaqueVolume,foundOpaqueVolume,Main loop early exit flag,Main Loop Control
_17143,loopSunlight,stepLightEnergy (loop result),Loop sunlight result,Main Loop Result
_17144,loopGodray,stepFogDensity (loop result),Loop godray result,Main Loop Result
_17145,loopColor,stepColor (loop result),Loop color result,Main Loop Result
_17147,loopTracerGlow,stepTracerGlow (loop result),Loop tracer glow result,Main Loop Result
_17148,loopTracerDir,stepTracerDir (loop result),Loop tracer direction result,Main Loop Result
_17149,loopCavityStr,stepCavityStrength (loop result),Loop cavity strength result,Main Loop Result
_17150,loopHadPrevSample,hadPreviousSample (loop result),Loop had previous sample flag,Main Loop Result
_17151,loopSunlightOut,accumulatedLightEnergy (loop out),Loop sunlight output,Main Loop Result
_17152,loopTracerBits,tracerAnimationCounter (loop result),Loop tracer animation bits,Main Loop Result
_17153,loopGodrayOut,accumulatedFogDensity (loop out),Loop godray output,Main Loop Result
_17154,loopColorOut,accumulatedColor (loop out),Loop color output,Main Loop Result
_17156,loopTracerGlowOut,accumulatedTracerGlow (loop out),Loop tracer glow output,Main Loop Result
_17157,loopTracerDirOut,accumulatedTracerDirection (loop out),Loop tracer direction output,Main Loop Result
_17158,loopCavityStrOut,cavity strength (loop out),Loop cavity strength output,Main Loop Result
_17159,loopTracerBitsOut,tracerAnimationCounter (loop out),Loop tracer bits output,Main Loop Result
_17160,loopRayTOut,currentRayDistance (loop out),Loop ray t output,Main Loop Result
_13137,foundOpaqueFlag,foundOpaqueVolume,Found opaque volume flag,Main Loop State
_16305,accumulatedLightEnergy,accumulatedLightEnergy = 0.0,Accumulated sunlight energy,Main Loop State
_17114,accumulatedFogDensity,accumulatedFogDensity = 0.0,Accumulated fog/godray density,Main Loop State
_17116,accumulatedTracerGlow,accumulatedTracerGlow = 0.0,Accumulated tracer glow,Main Loop State
_17118,tracerCavityStrength,tracerCavityStrength (stored in z),Tracer cavity strength,Main Loop State
_17119,tracerAnimationCounter,tracerAnimationCounter = 0,Tracer animation counter bits,Main Loop State
_17121,currentRayDistance,currentRayDistance = rayMarchStart,Current ray distance,Main Loop State
_17122,hasValidSample,hasValidSample = false,Has valid sample this step,Main Loop State
_17123,stepIndex,stepIndex = 0,Current step index,Main Loop State
_23149,shouldUpdateTracerAnim,shouldUpdateTracerAnim,Should refresh tracer cache,Cache Control
_12501,cacheRefreshCheck,((stepIndex & 15) == 0) || (stepIndex < 16),Cache refresh condition,Cache Control
_24117,tracerGlowIntensity,shouldUpdateTracerAnim ? 0.0 : accumulatedTracerGlow,Reset or keep tracer glow,Cache Control
_17855,tracerCavityStrength,shouldUpdateTracerAnim ? 0.0 : accumulatedTracerDirection.z,Reset or keep cavity strength,Cache Control
_14433,tracerAnimBits,shouldUpdateTracerAnim ? 0 : tracerAnimationCounter,Reset or keep animation bits,Cache Control
_13138,samplePosition,samplePosition = lastValidSamplePos,Sample position for this step,Inner Loop State
_17126,stepColor,stepColor = accumulatedColor,Step color accumulation,Inner Loop State
_17128,stepTracerDir,stepTracerDir,Step tracer direction,Inner Loop State
_8897,volumeCheckIdxNext,volumeCheckIndex + 1,Next volume check index,Volume Inner Loop
_13154,samplePosUpdate,position update,Sample position update,Volume Inner Loop
_14891,cavityStrUpdate,cavity update,Cavity strength update,Volume Inner Loop
_16313,hadPrevSampleUpdate,flag update,Had previous sample update,Volume Inner Loop
_17138,sunlightUpdate,sunlight update,Sunlight accumulation update,Volume Inner Loop
_17139,godrayUpdate,godray update,Godray accumulation update,Volume Inner Loop
_17140,colorUpdate,color update,Color accumulation update,Volume Inner Loop
_17141,tracerGlowUpdate,glow update,Tracer glow update,Volume Inner Loop
_17142,tracerDirUpdate,direction update,Tracer direction update,Volume Inner Loop
_18361,tracerBitsUpdate,bits update,Tracer bits update,Volume Inner Loop
_17019,volumeCheckIndex,volumeCheckIndex = 0,Volume check loop index,Volume Inner Loop
_17124,stepLightEnergy,stepLightEnergy = accumulatedLightEnergy,Step sunlight energy,Volume Inner Loop
_17125,stepFogDensity,stepFogDensity = accumulatedFogDensity,Step fog density,Volume Inner Loop
_17127,stepTracerGlow,stepTracerGlow = tracerGlowIntensity,Step tracer glow,Volume Inner Loop
_17129,stepCavityStrength,stepCavityStrength = tracerCavityStrength,Step cavity strength,Volume Inner Loop
_17134,stepTracerBits,stepTracerBits = tracerAnimBits,Step tracer animation bits,Volume Inner Loop
_7956_ladder_break,volumeLoopBreak,break flag,Volume loop ladder break,Control Flow
_7688,tracerDirection,normalized tracer direction,Computed tracer wind direction,Tracer Calc
_13141,updatedTracerBits,tracerBits after update,Updated tracer animation bits,Tracer Result
_13618,updatedCavityStrength,cavity after update,Updated cavity strength,Tracer Result
_16308,updatedTracerGlow,glow after update,Updated tracer glow intensity,Tracer Result
_12885,skipTracerCalc,(activeTracerCount == 0) || (bits & 3) != 0,Skip tracer calculation flag,Tracer Control
_13139,tracerGlowLoop,loop temp glow,Tracer glow in loop,Tracer Loop
_16307,tracerDirLoop,loop temp direction,Tracer direction in loop,Tracer Loop
_17135,cavityStrLoop,loop temp cavity,Cavity strength in loop,Tracer Loop
_8087,tracerIdxNext,tracerIdx + 1,Next tracer index,Tracer Loop
_13140,tracerDirResult,direction result,Tracer direction result,Tracer Loop
_13189,cavityStrResult,cavity result,Cavity strength result,Tracer Loop
_14382,tracerGlowResult,glow result,Tracer glow result,Tracer Loop
_17020,tracerLoopIdx,tracer loop index,Tracer loop index,Tracer Loop
_21554,tracerLineDir,bulletTracerEnds[i] - bulletTracerStarts[i],Tracer line direction,Tracer Calc
_14636,posToTracerStart,currentMarchPos - bulletTracerStarts[i],Position to tracer start,Tracer Calc
_19448,distToTracerLine,distance to line factor,Distance factor to tracer line,Tracer Calc
_14626,tracerFadeInOut,fade calculation,Tracer fade in/out factor,Tracer Calc
_6223,spotTracerGlow,spotlight glow,Spotlight tracer glow effect,Tracer Calc
_18731,tracerWindInfluence,wind influence,Wind influence from tracer,Tracer Calc
_10368,pointTracerGlow,point glow,Point tracer glow effect,Tracer Calc
_25081,currentVolumeIdx,uint(volumeBoxList[volumeCheckIndex].index),Current volume ID being sampled,Volume Sampling
_10669,hasValidSample,hasValidSample flag,Had valid density sample flag,Volume Sampling
_13153,sampleSunlight,step sunlight,Sampled sunlight contribution,Volume Sampling
_13637,sampleColor,step color,Sampled color contribution,Volume Sampling
_16312,sampleGodray,step godray,Sampled godray contribution,Volume Sampling
_25170,tracerOffsetSamplePos,currentMarchPos + (normalize(tracerDirection) * offset),Tracer-adjusted sample position,Volume Sampling
_22666,volumeIdxInt,int(currentVolumeIdx),Volume ID as integer,Volume Sampling
_14658,volumeLocalPos,GetVolumeUVW result,Normalized position in volume [0-1],Volume Sampling
_21495,volumeUVW,clamped UVW,Volume texture UVW coordinates,Volume Sampling
_14092,densityPageIdx,uint(volumeAnimState[idx].z),Density texture page/atlas index,Volume Sampling
_24255,densityUOffset,34.0 * float(densityPageIdx),Atlas U-coordinate offset,Volume Sampling
_11487,densitySample,SampleSmokeTexture result,Raw density texture sample,Volume Sampling
_7714,densityChannels,mix(sample.xz sample.yw interpT),Mixed density channels,Volume Sampling
_20593,sampledDensityMin,densityChannels.x,Minimum density value,Volume Sampling
_6734,sampledDensityMax,densityChannels.y,Maximum density value,Volume Sampling
_13144,densityVec4Temp,temp vec4,Density as vec4 (temp),Volume Sampling
_8283,distanceToMarchEnd,distance(tracerOffsetSamplePos marchEndWorldPos),Distance to march end,Volume Sampling
_18056,adjustedDensity,distance-adjusted density,Distance-adjusted density,Volume Sampling
_11248,densityBlendTemp,temp blend,Density blend temp,Volume Sampling
_6665,cavityDensity,clamp(lerp(adjustedDensity -0.05 cavityStrength)),Final cavity-affected density,Density Processing
_17820,occlusionDistance,max(0 dist - min(20 abs(backProj.z - volCenter.z)*2)),Surface occlusion distance,Density Processing
_20845,densityMultiplier,clamp((cavityDensity - 0.01) * 1.0101) * volumeFadeParams.x,Scaled density value,Density Processing
_22281,finalScaledDensity,densityMultiplier + camera distance boost,Adjusted scaled density,Density Processing
_6616,shadowTestPos,final sampling position,Shadow test position,Density Processing
_13148,shadowMultiplier,dissipation/shadow multiplier,Shadow multiplier from dissipation,Dissipation
_13694,effectiveDensity,finalScaledDensity * shadowMultiplier or * 0.02,Final effective density,Density Processing
_16310,shadowAmount,dissipation effect,Shadow amount from dissipation,Dissipation
_13142,dissipLoopPos,position in dissipation loop,Dissipation loop position,Dissipation Loop
_16309,dissipAccum,dissipation accumulator,Dissipation effect accumulator,Dissipation Loop
_17136,dissipScale,dissipation scale,Dissipation scale factor,Dissipation Loop
_8896,dissipIdxNext,dissipation index + 1,Next dissipation index,Dissipation Loop
_13147,dissipPosResult,position result,Dissipation position result,Dissipation Loop
_14082,dissipScaleResult,scale result,Dissipation scale result,Dissipation Loop
_18360,dissipAccumResult,accumulation result,Dissipation accumulation result,Dissipation Loop
_17021,dissipLoopIdx,dissipation loop index,Dissipation loop index,Dissipation Loop
_7957_ladder_break,dissipLoopBreak,break flag,Dissipation loop ladder break,Control Flow
_10810,dissipationAge,animationTime - explosionPositions[i].w,Time since explosion,Dissipation Calc
_13146,dissipPosInterim,interim position,Dissipation position interim,Dissipation Calc
_16382,dissipScaleInterim,interim scale,Dissipation scale interim,Dissipation Calc
_16480,dissipEffectInterim,interim effect,Dissipation effect interim,Dissipation Calc
_13668,distToDissipPoint,distance(pos explosionPositions[i]),Distance to dissipation point,Dissipation Calc
_13143,dissipPosInner,inner position,Dissipation position (inner),Dissipation Calc
_16381,dissipScaleInner,inner scale,Dissipation scale (inner),Dissipation Calc
_16479,dissipEffectInner,inner effect,Dissipation effect (inner),Dissipation Calc
_16611,dissipationPulse,pow(1.0 - smoothstep(0 2 age) 128),Dissipation pulse effect,Dissipation Calc
_13560,surfaceProximity,surface proximity calc,Surface proximity effect,Dissipation Calc
_20017,animTime,_Time.y * _AnimationSpeed,Animation time for noise,Noise Generation
_11675,volumeCenteredPos,volumeLocalPos - float3(0.5),Centered position [-0.5 to 0.5],Noise Generation
_11772,noiseCoord,volumeCenteredPos * 7.0,Scaled noise coordinate,Noise Generation
_11476,noiseZ,noiseCoord.z,Noise coordinate Z component,Noise Generation
_9117,rotAngle1,animTime * 0.5,First rotation angle,Noise Generation
_7385,rotOffset,animTime * 0.04 + oscillation,Rotation offset angle,Noise Generation
_17167,sinRot,sin(rotOffset),Sine of rotation,Noise Generation
_17391,cosRot,cos(rotOffset),Cosine of rotation,Noise Generation
_23932,rotatedXY,mul(rotMat noiseCoord.xy),Rotated XY coordinates,Noise Generation
_16176,rotatedX,rotatedXY.x,Rotated X coordinate,Noise Generation
_21583,noisePosTemp,temp noise position,Noise position temp,Noise Generation
_6688,rotatedY,rotatedXY.y,Rotated Y coordinate,Noise Generation
_14459,waveTime,animTime + sin(rotAngle1) * 0.02,Wave animation time,Noise Generation
_24074,waveOffset,sin/cos wave perturbation,Wave-perturbed XZ,Noise Generation
_10133,perturbedX,waveOffset.x,Perturbed X after wave,Noise Generation
_10752,perturbedZ,waveOffset.y,Perturbed Z after wave,Noise Generation
_22420,noisePosPerturbed,perturbed noise position,Perturbed noise position,Noise Generation
_8650,finalNoiseZ,perturbedZ + vertical wave,Final Z with vertical wave,Noise Generation
_10824,baseNoiseCoord,noisePosPerturbed * _BaseNoiseScale,Base noise sampling coordinate,Noise Sampling
_9985,timeOffset3D,float3(2 2 4.5) * (animTime * 0.1),3D time offset for noise,Noise Sampling
_13915,camRightOffset,_CameraRight * 0.2,Camera right vector offset,Noise Sampling
_13916,camUpOffset,cameraSideVector * 0.2,Camera up/side vector offset,Noise Sampling
_16433,noisePowerVec,float4(_NoiseWeight),Noise power vector,Noise Sampling
_21177,rawNoiseSample,_HighFreqNoise.SampleLevel(),Raw noise sample,Noise Sampling
_6421,lowFreqParams,float4(_CloudDensity),Low frequency noise params,Noise Sampling
_7260,highFreqParams,float4(_CloudCoverage),High frequency noise params,Noise Sampling
_15547,noiseBlendParam,float4(_AnimationSpeed),Noise blend parameter,Noise Sampling
_24109,baseNoiseProcessed,lerp(lerp(low high noise) lerp(0.25 -1.5 noise) blend),Processed base noise,Noise Sampling
_11087,baseNoiseCombined,(processed.x + processed.y * 0.95) * 4.6,Combined base noise intensity,Noise Sampling
_17262,noiseSampleX,sample with right offset,Noise sample for X gradient,Noise Sampling
_19777,processedNoiseX,processed X gradient,Processed noise X,Noise Sampling
_17263,noiseSampleY,sample with up offset,Noise sample for Y gradient,Noise Sampling
_19778,processedNoiseY,processed Y gradient,Processed noise Y,Noise Sampling
_20360,normalGradStep,0.8 / _BaseNoiseScale,Normal gradient step size,Normal Calculation
_6512,noiseNormal,normalize(float3(base-Y.combined base-X.combined gradStep)),Noise-derived normal,Normal Calculation
_21989,viewTransform,transpose of view matrix,Transposed view matrix,Transform
_16360,centeredPosZ,volumeCenteredPos.z,Centered position Z,Detail Noise
_20799,detailNoiseCoord,noiseCoord + viewSpaceOffset + zOffset,Detail noise coordinate,Detail Noise
_19464,detailScaledCoord,detailNoiseCoord * _DetailNoiseScale,Scaled detail coordinate,Detail Noise
_11130,detailNoiseSample,sample at detail coord,Detail noise sample,Detail Noise
_19779,detailNoiseProcessed,processed detail noise,Processed detail noise,Detail Noise
_11089,detailNoiseCombined,(processed.x + processed.y * 0.95) * 4.6,Combined detail noise,Detail Noise
_17264,detailSampleX,sample with right offset,Detail sample X gradient,Detail Noise
_19780,detailProcessedX,processed X,Detail processed X,Detail Noise
_17265,detailSampleY,sample with up offset,Detail sample Y gradient,Detail Noise
_19781,detailProcessedY,processed Y,Detail processed Y,Detail Noise
_17671,depthFade,_ScatteringCoeff * (dot(ray forward) * dist),Depth-based fade factor,Lighting
_13150,combinedNoise,lerp(0.95 base noise1) + lerp(0.95 detail depthFade*0.25) + ambient,Combined noise factor,Lighting
_11621,heightFade,density after height shaping,Density with height fade,Density Shaping
_14675,heightParam,clamp(volumeFadeParams.w 0.0001 0.9999),Clamped height parameter,Density Shaping
_8419,fadeStart,smoothstep(0 0.8 heightParam),Height fade start,Density Shaping
_14551,fadeEnd,smoothstep(0.2 1.0 heightParam),Height fade end,Density Shaping
_12502,heightFadeResult,result of height fade,Height fade result,Density Shaping
_23051,heightTestPos,vertically scaled centered pos,Height test position,Density Shaping
_13439,stepDensity,lerp(heightFade - (1-noise) heightFade + noise heightFade) * scale,Final step density,Density Shaping
_21940,baseNormalDir,normalize(volumeCenteredPos) * shadowMix,Base normal direction,Color Calculation
_13055,normalTransform,viewTransform * combined normal,Transformed normal,Color Calculation
_19632,viewSpaceNormal,normalTransform.xyz,View space normal,Color Calculation
_16793,scatterUVW,clamped scatter lookup coord,Color scatter LUT UVW,Color Calculation
_13568,scatterColor,_ColorLUT3D.SampleLevel(scatterUVW),Color LUT sample,Color Calculation
_15561,sunDot,dot(phaseNormal sunDirection),Sun direction dot product,Lighting Calculation
